Anio;Dep Id;Dep Nombre;Mun Id;Mun Nombre;VER ID;VER NOMBRE;Ubicacion;AGPRE NOMBRE;Cantidad Muestras;Promedio;Nivel de Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05002;ABEJORRAL;050020000;SIN DATO;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DE PANTANILLO ACUMUPAN- MONTELORO;1;97,3451;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05002;ABEJORRAL;050020001;NO APLICA;URBANO;EMPRESAS PÚBLICAS DE ABEJORRAL E.S.P.-ZONA URBANA LA ANGOSTURA;33;1,2804;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05002;ABEJORRAL;050020000;SIN DATO;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DE PANTANILLO ACUMUPAN- LAS TROJAS;1;97,3451;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05004;ABRIAQUI;050040001;NO APLICA;URBANO;UNIDAD DE SERVICIOS PÚBLICOS DOMICILIARIOS - AGUAS DE ABRIAQUÍ;36;1,8127;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05004;ABRIAQUI;05004009;POTREROS;RURAL;JUNTA DE ACCION COMUNAL POTREROS - VEREDA POTREROS 1;1;94,3396;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05004;ABRIAQUI;050040000;SIN DATO;RURAL;JUNTA ADMINISTRADORA DE ACUEDUCTO VEREDA QUIMULÁ;2;95,8424;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05004;ABRIAQUI;050040001;NO APLICA;URBANO;UNIDAD DE SERVICIOS PÚBLICOS DOMICILIARIOS - AGUAS DE ABRIAQUÍ;32;3,3098;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05021;ALEJANDRIA;050210001;NO APLICA;URBANO;UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE ALEJANDRIA;34;0,7808;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05021;ALEJANDRIA;050210001;NO APLICA;URBANO;UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE ALEJANDRIA;32;1,2097;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05030;AMAGA;050300001;NO APLICA;URBANO;EMPRESAS PUBLICAS DE AMAGA S.A E.S.P;34;1,8176;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05030;AMAGA;05030011;MALABRIGO;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE MALABRIGO PARTE ALTA-LA MALABRIGA;2;76,923;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05030;AMAGA;050300001;NO APLICA;RURAL;EMPRESAS PUBLICAS DE AMAGA S.A E.S.P;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05030;AMAGA;050300001;NO APLICA;RURAL;EMPRESAS PUBLICAS DE AMAGA S.A E.S.P;2;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05030;AMAGA;050300001;NO APLICA;URBANO;EMPRESAS PUBLICAS DE AMAGA S.A E.S.P;29;3,5649;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05030;AMAGA;05030011;MALABRIGO;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE MALABRIGO PARTE ALTA-LA MALABRIGA;1;64;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05031;AMALFI;05031043;MONTEBELLO;RURAL;JUNTA DE ACCIÓN COMUNAL LA PRADERA;1;100;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05031;AMALFI;05031043;MONTEBELLO;RURAL;JUNTA DE ACCIÓN COMUNAL MONTEBELLLO PARTE ALTA;1;100;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05031;AMALFI;050310000;SIN DATO;URBANO;ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A. E.S.P. AMALFI - SAN IGNACIO;34;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05031;AMALFI;050310001;NO APLICA;URBANO;ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A. E.S.P. AMALFI - GUAYABITO ;34;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05031;AMALFI;050310001;NO APLICA;URBANO;ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A. E.S.P. AMALFI - GUAYABITO ;33;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05031;AMALFI;050310000;SIN DATO;URBANO;ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A. E.S.P. AMALFI - SAN IGNACIO;33;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034002;ALTO DEL RAYO;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - VEREDA ALTO DEL RAYO;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034004;BAJO CAÑAVERAL;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - VEREDA BAJO CAÑAVERAL ;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034052;SAN BARTOLO;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DE JARDÍN - CORREGIMIENTO SAN BARTOLO;1;53,0973;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034001;ALTO CAÑAVERAL;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - ALTO CAÑAVERAL CHORROS PARTE ALTA;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034063;VALLE UMBRÍA;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DE ANDES - VALLE UMBRÍA;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034018;EL TAPADO;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - VEREDA EL TAPAO;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340000;SIN DATO;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO VEREDAL LA YOLANDA CORREGIMIENTO BUENOS AIRES ANDES;1;97,3451;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034055;SAN GREGORIO;RURAL;JUNTA DE ACCIÓN COMUNAL SANTA RITA-SAN GREGORIO;1;100;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340000;SIN DATO;RURAL;ACUEDUCTO LA CIUDAD, EL MORRO Y EL PALMAR;1;53,0973;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340000;SIN DATO;RURAL;ASOCIACION DEL ACUEDUCTO DE SANTA INES-CORREGIMIENTO SANTA INÉS;1;55,7522;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034039;LA SOLITA;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - VEREDA LA SOLITA;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034001;ALTO CAÑAVERAL;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - VEREDA ALTO CAÑAVERAL LA NEGRA;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034046;PALESTINA;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES -PALESTINA;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340000;SIN DATO;RURAL;JUNTA DE ACCIÓN COMUNAL SANTA RITA-EL PENCAL SECTOR SANTA ELENA;1;97,3451;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340000;SIN DATO;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - VEREDA LA CAMELIA;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034049;RISARALDA;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - VEREDA RISARALDA;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340000;SIN DATO;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - VEREDA PIAMONTE;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340001;NO APLICA;RURAL;AGUAS  AIRES - CORREGIMIENTO BUENOS AIRES;1;97,3451;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340000;SIN DATO;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - VEREDA EL GOLGOTA;1;53,0973;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034053;SAN CARLOS;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - VEREDA SAN CARLOS;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034017;EL ROJO;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - VEREDA EL ROJO;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340000;SIN DATO;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES- BARRIO LAS BRISAS;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034031;LA LEGIA;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO VEREDAL LA LEJIA TAPARTO ANDES E.S.P;1;41,958;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340000;SIN DATO;RURAL;ASOCIACION DE USUARIOS ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES-LA ALSACIA;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340000;SIN DATO;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO VEREDAL CORREGIMIENTO SAN JOSE ANDES ;1;53,0973;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034035;LA PRADERA;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES -  LA PRADERA;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340000;SIN DATO;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - VEREDA SAN HERNANDO;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340000;SIN DATO;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES - VEREDA EL CABRERO ;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340000;SIN DATO;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DEL MUNICIPIO DE ANDES -  SECTOR CAMPAMENTO;1;0;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;050340001;NO APLICA;URBANO;EMPRESA DE SERVICIOS PÚBLICOS DE ANDES S.A. E.S.P.- ZONA URBANA LA PALMERA;36;0,235;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034014;EL CRUCERO;RURAL;ACUEDUCTO EL CEDRÓN Y EL CRUCERO-EL CRUCERO;1;41,958;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05034;ANDES;05034020;LA AGUADA;RURAL;FUNDACIÓN BERTA MARTÍNEZ-LA AGUADA;1;76,923;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
